Date,Patch,Blue,Red,Winner,Loser,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Length,Blue_Gold,Blue_Kills,Blue_Towers,Blue_Dragons,Blue_Barons,Blue_RiftHerald,Red_Gold,Red_Kills,Red_Towers,Red_Dragons,Red_Barons,Red_RiftHerald,Diff_Gold,Diff_Kills,Diff_Towers,Diff_Dragons,Diff_Barons,Diff_RiftHerald,Tournament,Match of the Season
2015-06-24,5.11,Team Imagine,Vortex,blue,,"Azir, Kalista, Gragas","Ryze, Alistar, Rek'Sai","Gnar, Ekko, Xerath, Vayne, Thresh","Rumble, Lee Sin, Kassadin, Sivir, Annie","Big ol Ron,Dardoch,Wolfe,TheMassacre8,Indivisible","Wizardry,Chau,Gate,Veritas,heavenTime",34:31,65900,27,9,3,1,nan,54300,16,4,1,0,nan,11600,11,5,2,1,,NACS-2015-Summer,2
2015-06-24,5.11,Team Coast,Winterfox,blue,,"Annie, Fizz, Kalista","Ryze, Ekko, Rumble","Gnar, Rek'Sai, Kog'Maw, Sivir, Alistar","Maokai, Gragas, Azir, Vayne, Janna","cris,Shrimp,Pekin Woof,Mash,KonKwon","Avalon,ShorterACE,Arcsecond,P1noy,Ken",44:52,81500,18,11,5,2,nan,61700,1,3,1,0,nan,19800,17,8,4,2,,NACS-2015-Summer,1
2015-08-13,5.14,Team Coast,Renegades,red,,"Nidalee, Kennen, Kalista","Olaf, Sivir, Evelynn","Rumble, Rek'Sai, Varus, Corki, Alistar","Maokai, Gragas, Yasuo, Tristana, Thresh","Cris,Shrimp,Pekin Woof,Mash,KonKwon","RF,Crumbz,Alex Ich,Maplestreet,Remilia",36:53,53500,7,3,1,1,nan,63200,19,10,3,0,nan,-9700,-12,-7,-2,1,,NACS-2015-Summer-Playoffs,12
2015-08-13,5.14,Renegades,Team Coast,blue,,"Olaf, Sivir, Rek'Sai","Nidalee, Kennen, Thresh","Shen, Evelynn, Kassadin, Kalista, Morgana","Gnar, Elise, Azir, Vayne, Braum","RF,Crumbz,Alex Ich,Maplestreet,Remilia","Cris,Shrimp,Pekin Woof,Mash,KonKwon",42:06,79800,30,9,4,1,nan,64500,11,3,1,0,nan,15300,19,6,3,1,,NACS-2015-Summer-Playoffs,11
2015-08-13,5.14,Team Coast,Renegades,blue,,"Kennen, Thresh, Nidalee","Olaf, Sivir, Evelynn","Rumble, Rek'Sai, Varus, Corki, Braum","Gangplank, Lee Sin, Azir, Urgot, Janna","Cris,Shrimp,Pekin Woof,Mash,KonKwon","RF,Crumbz,Alex Ich,Maplestreet,Remilia",42:47,77400,18,11,5,1,nan,66200,5,3,0,1,nan,11200,13,8,5,0,,NACS-2015-Summer-Playoffs,10
2015-08-13,5.14,Renegades,Team Coast,blue,,"Olaf, Sivir, Rek'Sai","Nidalee, Elise, Evelynn","Kennen, Lee Sin, Azir, Kalista, Thresh","Gnar, Gragas, Kog'Maw, Tristana, Braum","RF,Crumbz,Alex Ich,Maplestreet,Remilia","Cris,Shrimp,Pekin Woof,Mash,KonKwon",30:57,52300,8,11,4,1,nan,42200,2,3,0,0,nan,10100,6,8,4,1,,NACS-2015-Summer-Playoffs,9
2015-08-13,5.14,Team Coast,Renegades,blue,,"Kennen, Nidalee, Thresh","Olaf, Sivir, Evelynn","Gnar, Elise, Azir, Lucian, Braum","Lulu, Nunu, Zed, Kog'Maw, Morgana","Cris,Shrimp,Pekin Woof,Mash,KonKwon","RF,Crumbz,Alex Ich,Maplestreet,Remilia",38:09,70000,19,11,4,1,nan,54600,7,2,1,1,nan,15400,12,9,3,0,,NACS-2015-Summer-Playoffs,8
2015-08-12,5.14,Cloud9 Tempest,Team Imagine,red,,"Sivir, Azir, Nidalee","Gnar, Gangplank, Elise","Olaf, Gragas, Viktor, Corki, Leona","Hecarim, Evelynn, Orianna, Kalista, Braum","Solo,Hard,Yusui,LOD,Sheep","Chunkyfresh,Moon,mancloud,Steeelback,Baby",45:18,78800,27,9,2,2,nan,78200,28,7,4,0,nan,600,-1,2,-2,2,,NACS-2015-Summer-Playoffs,7
2015-08-12,5.14,Team Imagine,Cloud9 Tempest,blue,,"Gnar, Gangplank, Elise","Sivir, Azir, Nidalee","Hecarim, Evelynn, Viktor, Corki, Braum","Olaf, Gragas, Lulu, Kalista, Janna","Chunkyfresh,Moon,mancloud,Steeelback,Baby","Solo,Hard,Yusui,LOD,Sheep",43:03,69500,14,8,4,1,nan,60800,4,3,1,0,nan,8700,10,5,3,1,,NACS-2015-Summer-Playoffs,6
2015-08-07,5.14,Cloud9 Tempest,Team Coast,red,,"Nunu, Braum, Sivir","Nidalee, Elise, Alistar","Gnar, Gragas, Orianna, Tristana, Thresh","Olaf, Evelynn, Viktor, Corki, Janna","Solo,Hard,Yusui,LOD,Sheep","Cris,Shrimp,Pekin Woof,Mash,KonKwon",46:53,69200,11,4,1,0,nan,90400,23,11,5,2,nan,-21200,-12,-7,-4,-2,,NACS-2015-Summer-Playoffs,5
2015-08-07,5.14,Team Coast,Cloud9 Tempest,blue,,"Nidalee, Shen","Elise, Nunu, Viktor","Gnar, Evelynn, Azir, Sivir, Janna","Olaf, Gragas, Twisted Fate, Kalista, Braum","Cris,Shrimp,Pekin Woof,Mash,KonKwon","Solo,Hard,Yusui,LOD,Sheep",36:36,62300,8,8,1,1,nan,57800,9,3,2,1,nan,4500,-1,5,-1,0,,NACS-2015-Summer-Playoffs,4
2015-08-05,5.14,Renegades,Team Imagine,blue,,"Twisted Fate, Sivir, Evelynn","Urgot, Elise, Nidalee","Kennen, Gragas, Orianna, Graves, Thresh","Hecarim, Rek'Sai, Viktor, Corki, Alistar","RF,Crumbz,Alex Ich,Maplestreet,Remilia","Chunkyfresh,Moon,mancloud,Steeelback,Baby",44:41,77700,16,10,2,1,nan,70300,7,6,3,1,nan,7400,9,4,-1,0,,NACS-2015-Summer-Playoffs,3
2015-08-05,5.14,Team Imagine,Renegades,blue,,"Braum, Elise, Urgot","Twisted Fate, Sivir, Nidalee","Hecarim, Evelynn, Viktor, Corki, Thresh","Gnar, Rek'Sai, Orianna, Kalista, Morgana","Chunkyfresh,Moon,mancloud,Steeelback,Baby","RF,Crumbz,Alex Ich,Maplestreet,Remilia",50:57,89500,18,9,4,2,nan,75500,5,3,2,0,nan,14000,13,6,2,2,,NACS-2015-Summer-Playoffs,2
2015-08-05,5.14,Renegades,Team Imagine,blue,,"Fizz, Sivir, Twisted Fate","Braum, Elise, Nidalee","Kennen, Rek'Sai, Orianna, Urgot, Thresh","Sion, Gragas, Azir, Kalista, Alistar","RF,Crumbz,Alex Ich,Maplestreet,Remilia","Chunkyfresh,Moon,mancloud,Steeelback,Baby",40:15,72800,20,10,5,2,nan,57800,7,4,0,0,nan,15000,13,6,5,2,,NACS-2015-Summer-Playoffs,1
2015-06-18,5.11,CLG Black,Magnetic,red,,"Rengar, Ekko, Corki","Gragas, Rek'Sai, Ryze","Gnar, Lee Sin, Ziggs, Kalista, Bard","Maokai, Nidalee, Varus, Kog'Maw, Alistar","Lourlo,Thinkcard,Scarra,Frost,i KeNNy u","Big ol Ron,Dardoch,Wolfe,themassacre8,Indivisible",36:34,49000,8,5,1,0,nan,61100,15,9,3,1,nan,-12100,-7,-4,-2,-1,,NACS-2015-Summer-Qualifier,25
2015-06-18,5.11,Magnetic,CLG Black,blue,,"Gragas, Fizz, Kalista","Rengar, Ryze, Nunu","Gnar, Rek'Sai, Ekko, Corki, Bard","Rumble, Sejuani, Vladimir, Sivir, Alistar","Big ol Ron,Dardoch,Wolfe,themassacre8,Indivisible","Lourlo,Thinkcard,Scarra,Frost,i KeNNy u",34:29,66200,28,10,4,1,nan,49100,5,4,0,0,nan,17100,23,6,4,1,,NACS-2015-Summer-Qualifier,24
2015-06-12,5.10,CLG Black,Cloud9 Tempest,red,,"Hecarim, Ziggs, Rek'Sai","Alistar, Kalista, Ryze","Gnar, Gragas, LeBlanc, Vayne, Nautilus","Maokai, Nunu, Kog'Maw, Sivir, Janna","Lourlo,Thinkcard,Scarra,Frost,i KeNNy u","Solo,Hard,Jintae,LOD,Sheep",43:3,68100,14,5,0,1,nan,70700,21,8,6,1,nan,-2600,-7,-3,-6,0,,NACS-2015-Summer-Qualifier,23
2015-06-12,5.10,Cloud9 Tempest,CLG Black,red,,"LeBlanc, Gragas, Kalista","Ryze, Alistar, Hecarim","Maokai, Sejuani, Ziggs, Sivir, Thresh","Gnar, Rek'Sai, Kog'Maw, Vayne, Janna","Solo,Hard,Jintae,LOD,Sheep","Lourlo,Thinkcard,Scarra,Frost,i KeNNy u",41:13,59500,7,4,2,0,nan,72900,15,9,3,2,nan,-13400,-8,-5,-1,-2,,NACS-2015-Summer-Qualifier,22
2015-06-12,5.10,CLG Black,Cloud9 Tempest,red,,"Gragas, Sivir, Hecarim","Alistar, Kalista, Ryze","Rumble, Sejuani, Varus, Ashe, Thresh","Maokai, Rek'Sai, Ziggs, Jinx, Nautilus","Lourlo,Thinkcard,Scarra,Frost,i KeNNy u","Solo,Hard,Jintae,LOD,Sheep",39:55,52700,8,3,1,0,nan,65800,23,10,5,1,nan,-13100,-15,-7,-4,-1,,NACS-2015-Summer-Qualifier,21
2015-06-12,5.10,Misfits (North American Team),Magnetic,blue,,"Ekko, Alistar, Ryze","Kalista, Rek'Sai, Nunu","Maokai, Gragas, Varus, Urgot, Janna","Rumble, Sejuani, Jayce, Sivir, Nautilus","RF,Crumbz,Alex Ich,Maplestreet,Remilia","Big ol Ron,Sojin,Wolfe,themassacre8,Indivisible",25:18,42600,15,8,2,0,nan,29500,2,0,0,0,nan,13100,13,8,2,0,,NACS-2015-Summer-Qualifier,20
2015-06-12,5.10,Magnetic,Misfits (North American Team),red,,"Rek'Sai, Nunu, Ryze","Alistar, Gragas, Ekko","Gnar, Sejuani, Ziggs, Sivir, Nautilus","Maokai, Nidalee, Irelia, Kalista, Thresh","Big ol Ron,Sojin,Wolfe,themassacre8,Indivisible","RF,Crumbz,Alex Ich,Maplestreet,Remilia",47:5,66900,5,3,2,0,nan,87300,19,10,4,4,nan,-20400,-14,-7,-2,-4,,NACS-2015-Summer-Qualifier,19
2015-06-05,5.10,Cloud9 Tempest,Odyssey Gaming,blue,,"Nunu, LeBlanc, Alistar","Ashe, Cassiopeia, Kalista","Maokai, Rek'Sai, Azir, Sivir, Nautilus","Rumble, Gragas, Ziggs, Lucian, Leona","Solo,Hard,Yusui,LOD,Sheep","Chunkyfresh,Inori,ktsmurf,Steeelback,Trance",35:36,60300,14,11,2,1,nan,56200,11,3,2,1,nan,4100,3,8,0,0,,NACS-2015-Summer-Qualifier,18
2015-06-05,5.10,Maelstrom Gaming,CLG Black,red,,"Rumble, Evelynn, Ashe","Urgot, Rengar, Yasuo","Irelia, Sejuani, Azir, Kalista, Nautilus","Gnar, Gragas, Viktor, Sivir, Alistar","Akaadian,Piggy,mancloud,xPecake,BloodWater","Lourlo,Thinkcard,Scarra,Stixxay,i KeNNy u",26:5,36300,6,2,0,0,nan,48100,21,7,2,0,nan,-11800,-15,-5,-2,0,,NACS-2015-Summer-Qualifier,17
2015-06-05,5.10,CLG Black,Maelstrom Gaming,blue,,"Rengar, Urgot, Azir","Rumble, Evelynn, Kalista","Maokai, Rek'Sai, Karthus, Ashe, Alistar","Gnar, Gragas, Cassiopeia, Sivir, Nautilus","Lourlo,Thinkcard,Scarra,Stixxay,i KeNNy u","Akaadian,Piggy,mancloud,xPecake,BloodWater",31:29,59400,26,9,1,1,nan,45000,10,3,3,0,nan,14400,16,6,-2,1,,NACS-2015-Summer-Qualifier,16
2015-06-05,5.10,Odyssey Gaming,Cloud9 Tempest,red,,"Ashe, Cassiopeia, Gragas","Kalista, Nunu, LeBlanc","Rumble, Rek'Sai, Azir, Jinx, Thresh","Maokai, Sejuani, Xerath, Sivir, Alistar","Chunkyfresh,Inori,ktsmurf,Steeelback,Trance","Solo,Hard,Yusui,LOD,Sheep",36:55,53500,4,4,0,0,nan,60600,14,9,3,0,nan,-7100,-10,-5,-3,0,,NACS-2015-Summer-Qualifier,15
2015-06-04,5.10,Misfits (North American Team),Team Liquid Academy,blue,,"LeBlanc, Ashe, Alistar","Nidalee, Gragas, Kalista","Gnar, Sejuani, Orianna, Sivir, Morgana","Rumble, Nunu, Kog'Maw, Jinx, Nautilus","RF,Crumbz,Alex Ich,Nien,Remilia","zig,Grigne,youngbin,KEITH,Matt",37:26,65800,16,10,3,2,nan,50300,4,1,1,0,nan,15500,12,9,2,2,,NACS-2015-Summer-Qualifier,14
2015-06-04,5.10,Team Liquid Academy,Misfits (North American Team),blue,,"Nidalee, Rumble, Nautilus","Alistar, Sivir, Kalista","Gnar, Gragas, LeBlanc, Ashe, Morgana","Hecarim, Rek'Sai, Azir, Jinx, Thresh","zig,Grigne,youngbin,KEITH,Matt","RF,Crumbz,Alex Ich,Nien,Remilia",44:37,70900,20,8,3,0,nan,69100,4,6,2,2,nan,1800,16,2,1,-2,,NACS-2015-Summer-Qualifier,13
2015-06-04,5.10,Misfits (North American Team),Team Liquid Academy,blue,,"LeBlanc, Jinx, Alistar","Nidalee, Gragas, Azir","Rumble, Sejuani, Orianna, Kalista, Nautilus","Sion, Rek'Sai, Viktor, Urgot, Thresh","RF,Crumbz,Alex Ich,Nien,Remilia","zig,Grigne,youngbin,KEITH,Matt",43:1,73200,18,11,3,2,nan,61000,7,3,2,0,nan,12200,11,8,1,2,,NACS-2015-Summer-Qualifier,12
2015-05-29,5.9,Odyssey Gaming,Fiction eSports,blue,,"Urgot, Janna, Rumble","Rek'Sai, Hecarim, Kayle","Gnar, Nunu, Orianna, Jinx, Alistar","Gragas, Sejuani, Azir, Kog'Maw, Nami","BillyBoss,Inori,ktsmurf,Steeelback,Trance","Winter,Kitzuo,Aspect,Sleepyz,Zoar",31:56,61200,22,11,5,2,nan,40300,5,0,0,0,nan,20900,17,11,5,2,,NACS-2015-Summer-Qualifier,11
2015-05-29,5.9,Frank Fang Gaming,Cloud9 Tempest,red,,"Kalista, Rek'Sai, Ashe","Urgot, Nunu, Hecarim","Maokai, Sejuani, Vladimir, Lucian, Thresh","Gnar, Gragas, Cassiopeia, Sivir, Alistar","BrandonFtw,Moon,goldenglue,Lattman,Baby","Solo,Hard,Yusui,LOD,Sheep",31:36,41000,4,1,0,0,nan,64100,23,10,3,2,nan,-23100,-19,-9,-3,-2,,NACS-2015-Summer-Qualifier,10
2015-05-29,5.9,Fiction eSports,Odyssey Gaming,blue,,"Hecarim, Urgot, Kalista","Gnar, Rek'Sai, Rumble","Gragas, Sejuani, Azir, Corki, Janna","Maokai, Vi, LeBlanc, Sivir, Nautilus","Winter,Kitzuo,Aspect,Sleepyz,Zoar","BillyBoss,Inori,ktsmurf,Steeelback,Trance",33:59,58200,23,9,2,1,nan,49600,8,3,2,0,nan,8600,15,6,0,1,,NACS-2015-Summer-Qualifier,9
2015-05-29,5.9,Maelstrom Gaming,Aware Gaming,blue,,"Rumble, Gnar, Kalista","Urgot, Hecarim, Azir","Lulu, Gragas, Cassiopeia, Sivir, Alistar","Maokai, Nunu, Twisted Fate, Jinx, Morgana","Cat,MiMo,mancloud,xPecake,BloodWater","AnDa,Beautiful,dCard,ciscla,Hakuho",43:32,66400,14,8,3,1,nan,66400,11,6,2,1,nan,0,3,2,1,0,,NACS-2015-Summer-Qualifier,8
2015-05-29,5.9,Cloud9 Tempest,Frank Fang Gaming,blue,,"Urgot, Alistar, Nunu","Kalista, Rek'Sai, Ashe","Hecarim, Gragas, Cassiopeia, Sivir, Nautilus","Maokai, Evelynn, Azir, Jinx, Thresh","Solo,Hard,Yusui,LOD,Sheep","BrandonFtw,Moon,goldenglue,Lattman,Baby",37:05,63800,18,8,5,0,nan,54500,9,4,0,1,nan,9300,9,4,5,-1,,NACS-2015-Summer-Qualifier,7
2015-05-29,5.9,Odyssey Gaming,Fiction eSports,blue,,"Fizz, Fiora, Galio","Rek'Sai, Gragas, Sejuani","Gnar, Hecarim, Azir, Sivir, Nautilus","Maokai, Lee Sin, Ziggs, Draven, Thresh","BillyBoss,Inori,ktsmurf,Steeelback,Trance","Winter,Kitzuo,Aspect,Sleepyz,Zoar",30:53,59200,22,9,3,1,nan,41800,8,1,0,0,nan,17400,14,8,3,1,,NACS-2015-Summer-Qualifier,6
2015-05-29,5.9,Aware Gaming,Maelstrom Gaming,red,,"Azir, Hecarim, Urgot","Gnar, Kalista, Rumble","Maokai, Nunu, LeBlanc, Lucian, Braum","Lulu, Gragas, Cassiopeia, Sivir, Alistar","AnDa,Beautiful,dCard,ciscla,Hakuho","Cat,MiMo,mancloud,xPecake,BloodWater",31:03,39400,1,2,1,0,nan,51800,13,7,3,1,nan,-12400,-12,-5,-2,-1,,NACS-2015-Summer-Qualifier,5
2015-05-28,5.9,Team Liquid Academy,Zenith eSports,blue,,"Kalista, Gragas, Rumble","LeBlanc, Urgot, Hecarim","Gnar, Rek'Sai, Viktor, Jinx, Thresh","Vladimir, Nunu, Xerath, Sivir, Alistar","zig,Grigne,youngbin,KEITH,Matt","ChumpJohn,Darvec,Alfie,Virus,Tip",27:47,56500,27,10,3,1,nan,35200,5,0,0,0,nan,21300,22,10,3,1,,NACS-2015-Summer-Qualifier,4
2015-05-28,5.9,Misfits (North American Team),Also Known As,blue,,"Maokai, LeBlanc, Nidalee","Alistar, Kalista, Hecarim","Rek'Sai, Gragas, Orianna, Urgot, Nautilus","Rumble, Lee Sin, Ahri, Ashe, Thresh","RF,Crumbz,Alex Ich,Maplestreet,Remilia","Saskio,Beibei,Pekin Woof,Ethil,Jayel",44:45,80800,21,11,4,3,nan,65800,13,3,1,0,nan,15000,8,8,3,3,,NACS-2015-Summer-Qualifier,3
2015-05-28,5.9,Zenith eSports,Team Liquid Academy,red,,"Nunu, LeBlanc, Urgot","Kalista, Gragas, Gnar","Lulu, Sejuani, Malzahar, Draven, Thresh","Hecarim, Rek'Sai, Viktor, Sivir, Alistar","ChumpJohn,Darvec,Alfie,Virus,Tip","zig,Grigne,youngbin,KEITH,Matt",32:57,44400,7,3,2,0,nan,58900,18,8,3,1,nan,-14500,-11,-5,-1,-1,,NACS-2015-Summer-Qualifier,2
2015-05-28,5.9,Misfits (North American Team),Also Known As,blue,,"Maokai, LeBlanc, Nidalee","Thresh, Alistar, Kalista","Hecarim, Rek'Sai, Orianna, Urgot, Nautilus","Rumble, Amumu, Azir, Sivir, Leona","RF,Crumbz,Alex Ich,Maplestreet,Remilia","Saskio,Beibei,Pekin Woof,Ethil,Jayel",34:45,66400,26,10,3,1,nan,47400,6,1,1,0,nan,19000,20,9,2,1,,NACS-2015-Summer-Qualifier,1
2016-03-20,6.5,Team Impulse,Renegades,red,,"Lissandra, Lulu, Trundle","Nidalee, Kalista, Graves","Nautilus, Kindred, Azir, Corki, Bard","Gangplank, Gragas, Zed, Lucian, Poppy","Feng,Procxin,Pirean,Mash,Gate","Seraph,Crumbz,Ninja,Freeze,Hakuho",38:28,64400,8,3,1,0,1,79800,15,11,4,2,0,-15400,-7,-8,-3,-2,1,NA-LCS-2016-Spring,90
2016-03-20,6.5,Team SoloMid,NRG Esports,red,,"Gangplank, Elise, Zed","Nidalee, Sivir, Graves","Poppy, Gragas, Corki, Kalista, Braum","Trundle, Kindred, Azir, Jhin, Morgana","Hauntzer,Svenskeren,Bjergsen,Doublelift,Yellowstar","Impact,Moon,GBM,Altec,KonKwon",44:14,79100,17,8,3,0,1,77400,17,7,3,2,2,1700,0,1,0,-2,-1,NA-LCS-2016-Spring,89
2016-03-20,6.5,Counter Logic Gaming,Team Dignitas,blue,,"Braum, Elise, Kindred","Graves, Kalista, Twisted Fate","Gnar, Nidalee, Azir, Lucian, Soraka","Poppy, Gragas, Gangplank, Sivir, Bard","Darshan,Xmithie,Huhi,Stixxay,aphromoo","BillyBoss,Kirei,Shiphtur,Apollo,KiWiKiD",25:22,49400,7,9,2,1,2,38400,1,3,0,0,0,11000,6,6,2,1,2,NA-LCS-2016-Spring,88
2016-03-20,6.5,Team Impulse,Immortals,red,,"Janna, Lulu, Twisted Fate","Azir, LeBlanc, Nidalee","Malphite, Elise, Viktor, Kalista, Braum","Ekko, Gragas, Corki, Jhin, Karma","Feng,Procxin,Pirean,Mash,Gate","Huni,Reignover,Pobelter,WildTurtle,Adrian",29:29,47100,12,0,0,0,1,63600,21,11,1,1,1,-16500,-9,-11,-1,-1,0,NA-LCS-2016-Spring,87
2016-03-20,6.5,Team Liquid,Cloud9,blue,,"Soraka, Morgana, Gangplank","Lulu, Kalista, Nidalee","Poppy, Rek'Sai, Zed, Corki, Janna","Trundle, Lee Sin, Azir, Jhin, Alistar","Lourlo,Dardoch,Fenix,Piglet,Matt","Balls,Rush,Jensen,Sneaky,Hai",33:01,65900,23,11,4,1,2,49600,2,3,0,1,0,16300,21,8,4,0,2,NA-LCS-2016-Spring,86
2016-03-20,6.5,Renegades,Echo Fox,blue,,"Gangplank, Twisted Fate, Kayle","Graves, Kalista, Nidalee","Lulu, Gragas, Corki, Sivir, Trundle","Nautilus, Lee Sin, Lux, Jhin, Morgana","Seraph,Crumbz,Ninja,Freeze,Hakuho","kfo,Hard,Froggen,Keith,Big",43:50,77900,9,8,3,0,2,73000,12,3,2,1,1,4900,-3,5,1,-1,1,NA-LCS-2016-Spring,85
2016-03-19,6.5,Cloud9,Echo Fox,blue,,"Lulu, Graves, Gangplank","Nidalee, Kalista, Azir","Poppy, Lee Sin, LeBlanc, Jhin, Morgana","Trundle, Gragas, Corki, Sivir, Janna","Balls,Rush,Jensen,Sneaky,Hai","kfo,Hard,Froggen,Keith,Big",33:57,66800,15,9,3,1,2,48600,0,2,0,0,0,18200,15,7,3,1,2,NA-LCS-2016-Spring,84
2016-03-19,6.5,Team Dignitas,Team Liquid,red,,"Azir, Nautilus, Kalista","Kindred, Gragas, Nidalee","Trundle, Udyr, Corki, Sivir, Bard","Poppy, Elise, Lulu, Vayne, Janna","BillyBoss,Kirei,Shiphtur,Apollo,KiWiKiD","Lourlo,Dardoch,Fenix,Piglet,Matt",34:05,61400,9,4,0,0,2,68800,15,10,3,2,0,-7400,-6,-6,-3,-2,2,NA-LCS-2016-Spring,83
2016-03-19,6.5,Immortals,Team SoloMid,blue,,"Kindred, Azir, Kalista","Nidalee, Soraka, Janna","Yasuo, Sejuani, Lulu, Corki, Karma","Graves, Gragas, Lissandra, Sivir, Trundle","Huni,Reignover,Pobelter,WildTurtle,Adrian","Hauntzer,Svenskeren,Bjergsen,Doublelift,Yellowstar",28:37,58700,20,8,1,1,1,45900,6,3,1,0,1,12800,14,5,0,1,0,NA-LCS-2016-Spring,82
2016-03-19,6.5,Counter Logic Gaming,NRG Esports,blue,,"Braum, Elise, Nautilus","Udyr, Fiora, Alistar","Graves, Nidalee, Twisted Fate, Lucian, Bard","Trundle, Kindred, Ahri, Kalista, Shen","Darshan,Xmithie,Huhi,Stixxay,aphromoo","Impact,Moon,GBM,Altec,KonKwon",24:46,53900,13,11,2,1,2,34000,3,0,0,0,0,19900,10,11,2,1,2,NA-LCS-2016-Spring,81
2016-03-19,6.5,Team Impulse,Renegades,red,,"Lissandra, Graves, Gragas","Nidalee, Kalista, LeBlanc","Nautilus, Lee Sin, Azir, Corki, Braum","Lulu, Elise, Varus, Sivir, Trundle","Feng,Procxin,Pirean,Mash,Gate","Seraph,Crumbz,Ninja,Freeze,Hakuho",37:02,63100,15,4,1,0,0,73000,23,10,4,1,2,-9900,-8,-6,-3,-1,-2,NA-LCS-2016-Spring,80
2016-03-13,6.4,Echo Fox,Counter Logic Gaming,red,,"Fiora, Kalista, Udyr","Corki, Jhin, Kayle","Poppy, Nidalee, Lulu, Lucian, Morgana","Graves, Gragas, Twisted Fate, Ezreal, Braum","kfo,Hard,Froggen,Keith,Big","Darshan,Xmithie,Huhi,Stixxay,aphromoo",40:55,68600,9,4,1,1,1,72600,14,9,5,0,0,-4000,-5,-5,-4,1,1,NA-LCS-2016-Spring,79
2016-03-13,6.4,Team Dignitas,Immortals,red,,"Gangplank, Kalista, Soraka","Kindred, Lulu, Nidalee","Rammus, Gragas, Corki, Jhin, Braum","Graves, Rek'Sai, Twisted Fate, Sivir, Janna","BillyBoss,Kirei,Shiphtur,Apollo,KiWiKiD","Huni,Reignover,Pobelter,WildTurtle,Adrian",48:11,90400,20,9,2,1,1,94300,16,10,3,1,1,-3900,4,-1,-1,0,0,NA-LCS-2016-Spring,78
2016-03-13,6.4,Team SoloMid,Renegades,red,,"Zed, Corki, Kog'Maw","Nidalee, Kalista, LeBlanc","Trundle, Elise, Lulu, Jhin, Braum","Graves, Gragas, Lissandra, Caitlyn, Bard","Hauntzer,Svenskeren,Bjergsen,Doublelift,Yellowstar","Seraph,Crumbz,Ninja,Freeze,Hakuho",29:43,46600,3,4,1,0,0,56800,13,8,2,1,2,-10200,-10,-4,-1,-1,-2,NA-LCS-2016-Spring,77
2016-03-13,6.4,NRG Esports,Team Liquid,blue,,"Poppy, Jhin, Nidalee","Fiora, Graves, Kindred","Nautilus, Elise, Zed, Kalista, Trundle","Lulu, Lee Sin, Corki, Lucian, Braum","Impact,Moon,GBM,Altec,KonKwon","Lourlo,Dardoch,Fenix,Piglet,Matt",34:21,69600,20,11,2,2,0,54400,10,2,0,0,0,15200,10,9,2,2,0,NA-LCS-2016-Spring,76
2016-03-13,6.4,Cloud9,Team Impulse,blue,,"Lissandra, Lulu, Corki","Kalista, Nidalee, Gangplank","Trundle, Gragas, Varus, Jhin, Morgana","Graves, Elise, LeBlanc, Sivir, Janna","Balls,Rush,Jensen,Sneaky,Hai","Feng,Procxin,Pirean,Mash,Gate",29:30,61100,19,9,2,1,0,48000,11,1,0,0,1,13100,8,8,2,1,-1,NA-LCS-2016-Spring,75
2016-03-13,6.4,Echo Fox,Team Dignitas,blue,,"Kindred, Sivir, Trundle","Twisted Fate, Lulu, Kayle","Nautilus, Nidalee, Gangplank, Kalista, Alistar","Poppy, Elise, Corki, Jhin, Braum","kfo,Hard,Froggen,Keith,Big","BillyBoss,Kirei,Shiphtur,Apollo,KiWiKiD",67:50,123800,8,8,2,0,0,129100,16,10,7,4,1,-5300,-8,-2,-5,-4,-1,NA-LCS-2016-Spring,74
2016-03-12,6.4,Team SoloMid,Team Impulse,blue,,"Corki, Gangplank, Varus","Kalista, Nidalee, Poppy","Trundle, Kindred, Lulu, Kog'Maw, Alistar","Graves, Gragas, Twisted Fate, Sivir, Braum","Hauntzer,Svenskeren,Bjergsen,Doublelift,Yellowstar","Feng,Procxin,Pirean,Mash,Gate",29:17,56100,11,10,1,1,0,47700,9,3,2,0,2,8400,2,7,-1,1,-2,NA-LCS-2016-Spring,73
2016-03-12,6.4,Counter Logic Gaming,Team Liquid,red,,"Jhin, Poppy, Nidalee","Fiora, Udyr, Graves","Yasuo, Gragas, LeBlanc, Kalista, Bard","Nautilus, Lee Sin, Corki, Lucian, Braum","Darshan,Xmithie,Huhi,Stixxay,aphromoo","Lourlo,Dardoch,Fenix,Piglet,Matt",37:02,57800,4,3,0,0,1,71100,11,10,3,2,0,-13300,-7,-7,-3,-2,1,NA-LCS-2016-Spring,72
2016-03-12,6.4,Immortals,NRG Esports,blue,,"Nautilus, Graves, Kindred","Nidalee, Kalista, Quinn","Gangplank, Rek'Sai, Corki, Lucian, Soraka","Poppy, Elise, Twisted Fate, Sivir, Braum","Huni,Reignover,Pobelter,WildTurtle,Adrian","Impact,Moon,GBM,Altec,KonKwon",37:27,75800,20,9,2,2,1,60600,10,3,3,0,1,15200,10,6,-1,2,0,NA-LCS-2016-Spring,71
